Filename,AoA,CST Coeff 1,CST Coeff 2,CST Coeff 3,CST Coeff 4,CST Coeff 5,CST Coeff 6,CST Coeff 7,CST Coeff 8,Cl,Cd
naca16006,0,-5.7264582e-02,-6.7823496e-02,-8.9881168e-02,-1.4863749e-01,5.7264582e-02,6.7823496e-02,8.9881168e-02,1.4863749e-01,-7.544122e-07,0.014523527
naca16009,0,-8.5281798e-02,-1.0297751e-01,-1.3361764e-01,-2.2366743e-01,8.5281860e-02,1.0297731e-01,1.3361802e-01,2.2366699e-01,-2.9087293e-06,0.016013691
naca16012,0,-1.1457247e-01,-1.3540392e-01,-1.8059356e-01,-2.9619648e-01,1.1457247e-01,1.3540392e-01,1.8059356e-01,2.9619648e-01,-8.200720299999999e-06,0.01786035
naca16015,0,-1.4319768e-01,-1.6936652e-01,-2.2534627e-01,-3.7078134e-01,1.4319844e-01,1.6936527e-01,2.2534733e-01,3.7078063e-01,-2.0777989e-05,0.020221137
naca16018,0,-1.7184397e-01,-2.0318501e-01,-2.7062236e-01,-4.4465477e-01,1.7184399e-01,2.0318499e-01,2.7062238e-01,4.4465478e-01,-1.6047310999999998e-05,0.02328009
naca16021,0,-2.0049776e-01,-2.3698852e-01,-3.1592052e-01,-5.1850181e-01,2.0049777e-01,2.3698852e-01,3.1592052e-01,5.1850181e-01,-0.00024844112,0.0272594779999999
naca23012,0,-9.6228139e-02,-1.3690801e-01,-1.0158448e-01,-1.3457529e-01,2.4120286e-01,1.8049808e-01,1.6135175e-01,1.7878196e-01,0.11882871,0.017051265
naca23015,0,-1.3322760e-01,-1.8157224e-01,-1.3026437e-01,-1.7614356e-01,2.9086633e-01,2.0645994e-01,2.0976840e-01,2.0667117e-01,0.11268606,0.018530026
naca23018,0,-1.7079319e-01,-2.2791828e-01,-1.5644354e-01,-2.1968958e-01,3.3603055e-01,2.4049928e-01,2.4619312e-01,2.4541630e-01,0.10456318,0.0202138839999999
naca23021,0,-2.0412073e-01,-2.8064618e-01,-1.7771993e-01,-2.6265268e-01,3.8332747e-01,2.7232465e-01,2.8707906e-01,2.7901457e-01,0.095616763,0.0221202239999999
naca23024,0,-2.4076631e-01,-3.2738435e-01,-2.0434105e-01,-3.0376582e-01,4.3547455e-01,2.9662848e-01,3.3507062e-01,3.1043017e-01,0.14296953,0.0250586179999999
naca4424,0,-2.7057622e-01,-2.1059106e-01,-1.3877770e-01,-1.7810376e-01,4.1657155e-01,4.0529406e-01,4.0110403e-01,4.4592802e-01,0.39139304,0.031538447
naca63206,0,-5.4638463e-02,-4.5678097e-02,-7.2626292e-02,4.1912002e-02,7.8977711e-02,1.1540498e-01,1.1786673e-01,8.5906916e-02,0.15562515,0.014272419
naca63209,0,-8.7208749e-02,-8.8618846e-02,-1.1663519e-01,3.3376452e-02,1.1312770e-01,1.5679826e-01,1.6274656e-01,9.4463918e-02,0.15453941,0.0153373839999999
naca632615,0,-1.1966296e-01,-1.1903162e-01,-1.4456671e-01,1.4600913e-01,2.1299936e-01,3.0426243e-01,2.9889747e-01,2.3167175e-01,0.3842733,0.030165152
naca633018,0,-1.9632853e-01,-2.6132493e-01,-2.5698572e-01,-4.7491319e-02,1.9632853e-01,2.6132491e-01,2.5698572e-01,4.7491318e-02,-4.6883576e-05,0.019257576
naca633218,0,-1.7816820e-01,-2.3496696e-01,-2.2549426e-01,1.2062554e-02,2.1340133e-01,2.9179201e-01,2.8047664e-01,1.1333455e-01,0.14905235,0.019580199
naca633418,0,-1.6162014e-01,-2.0368660e-01,-2.0150836e-01,7.8391301e-02,2.3025822e-01,3.2165607e-01,3.0704831e-01,1.7678020e-01,0.25139737,0.028849715
naca633618,0,-1.4529890e-01,-1.7604330e-01,-1.7201802e-01,1.3769526e-01,2.4935408e-01,3.4738332e-01,3.3808491e-01,2.3631550e-01,0.27965642,0.051417896
naca64210,0,-9.3700487e-02,-9.4977670e-02,-1.4660627e-01,3.0422586e-02,1.1903303e-01,1.6625429e-01,1.8722357e-01,1.0204758e-01,0.15450752,0.015676929
naca65206,0,-4.7874129e-02,-3.5358794e-02,-9.4756494e-02,3.3389675e-02,7.2894502e-02,1.0497813e-01,1.3844157e-01,9.7878014e-02,0.15564992,0.0142635389999999
naca65209,0,-7.7368386e-02,-7.1900162e-02,-1.5216923e-01,2.1716290e-02,1.0292932e-01,1.4137797e-01,1.9531068e-01,1.0997172e-01,0.15348068,0.0156068989999999
naca65210,0,-8.6947913e-02,-8.4656020e-02,-1.7044242e-01,1.7493860e-02,1.1293234e-01,1.5368793e-01,2.1402322e-01,1.1345632e-01,0.13472231,0.02106305
naca65410,0,-7.3700774e-02,-5.0783549e-02,-1.4781926e-01,8.4042605e-02,1.2607114e-01,1.8762428e-01,2.3787601e-01,1.7702770e-01,0.2757357,0.02189672
naca66206,0,-4.9008953e-02,-1.8354781e-02,-1.1456125e-01,8.7879016e-03,7.3163622e-02,9.1835374e-02,1.5379812e-01,1.2204820e-01,0.10208341,0.03948907
naca66209,0,-7.8152102e-02,-4.9490407e-02,-1.7624530e-01,-1.7164759e-02,1.0543281e-01,1.1392829e-01,2.2771992e-01,1.4087037e-01,0.13256512,0.0198870739999999
naca66210,0,-9.0245375e-02,-4.9327947e-02,-2.1625099e-01,-1.1737169e-02,1.1618302e-01,1.2124572e-01,2.5359739e-01,1.4530896e-01,0.14484299,0.016066633
